"members","id","ele","slp","svf","aspC","aspS","asp"
32017,29,4107.50401349283,12.3805733968692,0.96,-0.142097446069087,0.739728918087718,100.873716527724
40390,30,4265.53164149542,21.3096608033058,0.86,0.115370538013568,0.834405301442856,82.127809648356
35685,31,4694.89499789828,29.8209560160354,0.91,-0.865383309918737,-0.361907379617483,202.694911507631
42211,32,1953.53801141882,29.7192859491276,0.89,0.00101734682285306,-0.80997712898228,270.071964561112
23475,33,2738.43182108626,50.8426516645791,0.73,-0.23085302804578,-0.691448561631549,251.537449110776
42590,34,1881.84853251937,21.9331580288199,0.91,-0.063998468432615,0.832915403773231,94.3937852254085
31936,35,4172.95036948898,33.6761792793089,0.77,0.212447489238354,0.763273325556087,74.4461278074127
18219,36,3792.04731324442,29.4940080658883,0.7,0.164416497480646,-0.705443005175198,283.11962759549
11358,37,5178.29644303575,56.9886684850178,0.66,0.109384224915725,0.709004658113764,81.2296365268282
51831,38,4954.47732052247,30.5530841397328,0.9,-0.168617518753107,0.820490511238103,101.613066198148
27871,39,3093.57927594991,17.0355394407599,0.83,0.166231131729785,0.628762582321311,75.1910658524557
19126,40,3820.85538011084,29.7557000286283,0.72,0.252775423547512,0.679347666286992,69.5904952427014
36281,41,3764.91485901712,42.8050687155542,0.8,-0.0798209487555226,0.767060262868446,95.9408656487511
39790,42,4796.67868811259,47.1457436151536,0.77,-0.115788361008423,0.78967506428882,98.3417146682302
59031,43,4505.5579610713,30.5646209565351,0.89,-0.00133639579780916,0.845482374573591,90.0905634197815
28772,44,3454.91867093007,42.2670678710319,0.74,0.00976421872793126,-0.757457661442267,270.738546280092
21998,45,1577.26011455587,33.8352180334777,0.79,0.104143782371919,-0.700853552966516,278.452056152012
52782,46,3984.11253836535,37.8734741976004,0.84,0.0292486562306794,-0.799238926667183,272.095840170449
30908,47,5311.74572926103,41.4296238541687,0.85,-0.731240809030261,0.0211772925019837,178.341134125189
29156,48,2423.37920153656,26.2895777068682,0.9,0.413118687546497,-0.0147741391722727,357.951835038016
28439,49,4167.39593515946,48.3210591906323,0.78,-0.467289873390707,0.011078527179536,178.641883761215
29939,50,3158.69758508968,37.4258236420156,0.85,-0.745434008976742,-0.0489993989928445,183.760796661014
23392,51,2291.86486833105,17.6286171064364,0.86,0.186039026905427,0.707531023571349,75.2680515834046
32028,52,5417.55670038716,43.5778339263709,0.84,0.0227017252263906,-0.788813874049267,271.648492950148
19640,53,1967.27515274949,46.9972423946555,0.72,-0.2058775876643,-0.620780913575393,251.652264130101
27053,54,5420.94558828965,47.5058532198709,0.79,-0.175709722482096,0.790387603845366,102.533507284772
30429,55,4787.61500542246,13.7936731826357,0.91,0.0918399287224426,0.723981678011924,82.7704188585742
23267,56,2706.44646924829,20.3177527320911,0.94,0.350759113206311,0.0362434035962915,5.89934951801709
25078,57,3115.90378020576,29.5062526388709,0.88,0.967848135282716,-0.04333019825077,357.43660113552
44589,58,5355.5135347283,35.9537344949696,0.89,-0.0821979033728036,-0.810806124806918,264.211245705799
33159,59,2903.85096052354,20.0301787606617,0.95,-0.0177282433709634,-0.800269907264567,268.73094389356
26890,60,1846.19152101153,29.9643076999689,0.88,-0.00255250595316084,0.0153155934505547,99.4619838597246
28065,61,3086.55859611616,33.967547181627,0.79,0.683192765281667,-0.0429426041981721,356.403361532537
27508,62,3095.71037516359,13.249263680162,0.89,-0.124285851254983,-0.698999784515586,259.917874625946
19102,63,3882.0638153073,10.458264442784,0.9,0.00432459679587313,0.0292241924884103,81.5824569605006
51567,64,4948.12983109353,30.0786898246114,0.92,-0.0805693600763897,-0.844414899437026,264.549656133082
40298,65,3279.72120204477,39.2678980818927,0.83,-0.0275736953135672,-0.781274399272572,267.978685983205
43023,66,2481.25337610116,33.2372253626131,0.88,-0.0322627615235342,-0.811444043924791,267.723136992118
36567,67,2116.16594196954,37.4467647137507,0.84,-0.0386614824285297,-0.781400275030876,267.167476201139
53091,68,4840.64123862802,21.484929849883,0.95,-0.197524395384448,-0.808285837034694,256.267516788382
36525,69,3095.49733059548,24.8456775124621,0.93,-0.043141851245856,0.763202835073499,93.2353368201626
23884,70,4426.19891977893,20.0626387214792,0.83,0.208522332336725,-0.705000076861759,286.476969790748
46472,71,3828.35709674643,20.5350726996558,0.95,-0.182153870929463,-0.780362435451448,256.861152175753
35426,72,4682.69056625078,29.1803817806728,0.92,-0.830014448873906,0.360186550379897,156.541463827021
20538,73,3169.6966111598,48.844889163214,0.76,-0.716069854509701,-0.0249229504253615,181.9933860686
27821,74,2192.02818015168,14.2365626876685,0.96,-0.033355903438967,0.737392744636153,92.5900045377099
14749,75,1803.33751440776,16.969247004478,0.79,0.193448438307673,0.571407061091517,71.2965977365983
29138,76,2246.31216967534,44.9593323746308,0.78,-0.188055757104687,-0.757856531824069,256.064013545828
34826,77,4178.33779360248,10.418730617942,0.93,-0.0375421813311362,-0.775114299173045,267.227081347203
22022,78,3248.77154663518,17.3376060954894,0.77,0.0731820647392719,-0.641145873654726,276.511708178537
54983,79,3974.85286361239,33.3256712963452,0.88,-0.0405834532431264,-0.798343485674522,267.089898287588
32874,80,4070.71859220052,41.3180756353355,0.83,-0.966966070826593,0.0160502676643425,179.049058510067
